trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3308218,14:10:00,14:10:00,7627,1,,0,1,0.0403,1
3308218,14:13:00,14:13:00,7628,2,,0,0,1.3853,0
3308218,14:18:00,14:18:00,7630,3,,0,0,4.0617,0
3308218,14:21:00,14:21:00,7631,4,,0,0,5.6268,1
3308218,14:23:00,14:23:00,7632,5,,0,0,6.6195,0
3308218,14:25:00,14:25:00,7634,6,,0,0,8.2166,0
3308218,14:27:00,14:27:00,7635,7,,0,0,9.0235,0
3308218,14:29:00,14:29:00,7637,8,,0,0,10.7563,0
3308218,14:31:00,14:31:00,7638,9,,0,0,11.4798,0
3308218,14:34:00,14:34:00,7639,10,,0,0,13.7127,0
3308218,14:36:00,14:36:00,7640,11,,0,0,14.1944,1
3308218,14:38:00,14:38:00,7641,12,,0,0,14.4602,0
3308218,14:40:31,14:40:31,7642,13,,0,0,14.8152,0
3308218,14:43:00,14:43:00,7643,14,,0,0,15.1813,1
3308218,14:46:00,14:46:00,7644,15,,0,0,15.6914,0
3308218,14:49:00,14:49:00,7645,16,,0,0,16.4454,0
3308218,14:51:00,14:51:00,7646,17,,0,0,16.9296,0
3308218,14:53:00,14:53:00,7648,18,,0,0,17.4250,1
3308218,14:54:00,14:54:00,7649,19,,1,1,17.5280,0
3308218,14:57:00,14:57:00,7650,20,,0,0,20.4277,0
3308218,14:59:00,14:59:00,7651,21,,0,0,21.9797,0
3308218,15:03:00,15:03:00,7652,22,,0,0,24.7362,0
3308218,15:04:00,15:04:00,7654,23,,0,0,25.8362,0
3308218,15:11:00,15:11:00,7655,24,,0,0,32.7469,0
3308218,15:13:00,15:13:00,7656,25,,0,0,33.2754,0
3308218,15:15:00,15:15:00,7657,26,,0,0,34.9852,1
3308218,15:20:00,15:20:00,7658,27,,0,0,38.8609,0
3308218,15:23:00,15:23:00,7659,28,,0,0,40.1892,0
3308218,15:25:00,15:25:00,7660,29,,0,0,41.1372,0
3308218,15:28:00,15:28:00,7661,30,,0,0,41.6373,0
3308218,15:30:00,15:30:00,7662,31,,1,0,42.2933,1
3308219,13:40:00,13:40:00,7627,1,,0,1,0.0403,1
3308219,13:43:00,13:43:00,7628,2,,0,0,1.3853,0
3308219,13:48:00,13:48:00,7630,3,,0,0,4.0617,0
3308219,13:51:00,13:51:00,7631,4,,0,0,5.6268,1
3308219,13:53:00,13:53:00,7632,5,,0,0,6.6195,0
3308219,13:55:00,13:55:00,7634,6,,0,0,8.2166,0
3308219,13:57:00,13:57:00,7635,7,,0,0,9.0235,0
3308219,13:59:00,13:59:00,7637,8,,0,0,10.7563,0
3308219,14:01:00,14:01:00,7638,9,,0,0,11.4798,0
3308219,14:04:00,14:04:00,7639,10,,0,0,13.7127,0
3308219,14:06:00,14:06:00,7640,11,,0,0,14.1944,1
3308219,14:08:00,14:08:00,7641,12,,0,0,14.4602,0
3308219,14:10:31,14:10:31,7642,13,,0,0,14.8152,0
3308219,14:13:00,14:13:00,7643,14,,0,0,15.1813,1
3308219,14:16:00,14:16:00,7644,15,,0,0,15.6914,0
