route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,301,3330985,HUNT VALLEY,,0,7005,NA_HV,1,1
11693,301,3330986,HUNT VALLEY,,0,7008,NA_HV,1,1
11693,301,3330987,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3330988,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3330989,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3330990,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3330991,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3330992,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3330993,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3330994,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3330995,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3330996,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3330997,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3330998,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3330999,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3331000,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3331001,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3331002,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3331003,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3331004,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3331005,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3331006,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3331007,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3331008,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3331009,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3331010,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3331011,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3331012,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3331013,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3331014,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3331015,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3331016,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3331017,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3331018,HUNT VALLEY,,0,7003,GB_HV,1,1
11693,301,3331019,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,301,3331020,HUNT VALLEY,,0,7009,GB_HV,1,1
11693,301,3331021,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,301,3331022,HUNT VALLEY,,0,7005,GB_HV,1,1
11693,301,3331023,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,301,3331024,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,301,3331025,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,301,3331026,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,301,3331027,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,301,3331028,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,301,3331029,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,301,3331030,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,301,3331031,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,301,3331032,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,301,3331033,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,301,3331034,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,301,3331035,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,301,3331036,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,301,3331037,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,301,3331038,HUNT VALLEY,,0,7007,BWI_HV,1,1
11693,301,3331039,HUNT VALLEY,,0,7010,BWI_HV,1,1
11693,301,3331040,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,301,3331041,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,301,3331042,HUNT VALLEY,,0,7002,BWI_HV,1,1
11693,301,3331043,HUNT VALLEY,,0,7004,BWI_HV,1,1
